dataset_source,repo_name,time,function_change_events_scored,function_change_events_failed,agc_function_change_events,hwc_function_change_events,added_agc_function_events,added_hwc_function_events,modified_agc_function_events,modified_hwc_function_events,agc_function_change_event_ratio
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,0,0,0,0,0,0,0,0,
control,AkariAsai/ScholarQABench,2024-11,60,0,19,41,19,41,0,0,0.31666666666666665
control,AkariAsai/ScholarQABench,2025-02,7,0,1,6,1,6,0,0,0.14285714285714285
control,AkariAsai/ScholarQABench,2025-04,0,0,0,0,0,0,0,0,
control,AkariAsai/ScholarQABench,2025-07,0,0,0,0,0,0,0,0,
control,AkariAsai/ScholarQABench,2025-08,0,0,0,0,0,0,0,0,
control,ArpiarSaundersLab/annsql,2024-09,48,0,14,34,10,17,4,17,0.2916666666666667
control,ArpiarSaundersLab/annsql,2024-10,36,0,2,34,1,9,1,25,0.05555555555555555
control,ArpiarSaundersLab/annsql,2024-11,9,0,3,6,2,1,1,5,0.3333333333333333
control,ArpiarSaundersLab/annsql,2024-12,0,0,0,0,0,0,0,0,
control,ArpiarSaundersLab/annsql,2025-01,17,0,1,16,1,13,0,3,0.058823529411764705
control,ArpiarSaundersLab/annsql,2025-02,190,0,79,111,47,44,32,67,0.41578947368421054
control,ArpiarSaundersLab/annsql,2025-03,51,0,26,25,15,2,11,23,0.5098039215686274
control,ArpiarSaundersLab/annsql,2025-04,0,0,0,0,0,0,0,0,
control,ArpiarSaundersLab/annsql,2025-05,1,0,0,1,0,0,0,1,0.0
control,BalancerMaxis/multisig-ops,2024-01,34,0,1,33,0,3,1,30,0.029411764705882353
control,BalancerMaxis/multisig-ops,2024-02,25,0,0,25,0,5,0,20,0.0
control,BalancerMaxis/multisig-ops,2024-03,64,0,9,55,4,9,5,46,0.140625
control,BalancerMaxis/multisig-ops,2024-04,30,0,3,27,0,4,3,23,0.1
control,BalancerMaxis/multisig-ops,2024-05,58,0,0,58,0,4,0,54,0.0
control,BalancerMaxis/multisig-ops,2024-06,31,0,5,26,1,5,4,21,0.16129032258064516
control,BalancerMaxis/multisig-ops,2024-07,20,0,6,14,2,0,4,14,0.3
control,BalancerMaxis/multisig-ops,2024-08,9,0,1,8,1,4,0,4,0.1111111111111111
control,BalancerMaxis/multisig-ops,2024-09,23,0,3,20,0,0,3,20,0.13043478260869565
control,BalancerMaxis/multisig-ops,2024-10,7,0,0,7,0,1,0,6,0.0
control,BalancerMaxis/multisig-ops,2024-11,25,0,2,23,1,10,1,13,0.08
control,BalancerMaxis/multisig-ops,2024-12,27,0,2,25,2,4,0,21,0.07407407407407407
control,BalancerMaxis/multisig-ops,2025-01,24,0,3,21,1,1,2,20,0.125
control,BalancerMaxis/multisig-ops,2025-02,33,0,2,31,0,3,2,28,0.06060606060606061
control,BalancerMaxis/multisig-ops,2025-03,59,0,5,54,1,3,4,51,0.0847457627118644
control,BalancerMaxis/multisig-ops,2025-04,16,0,1,15,1,1,0,14,0.0625
control,BalancerMaxis/multisig-ops,2025-05,14,0,1,13,1,1,0,12,0.07142857142857142
control,BalancerMaxis/multisig-ops,2025-06,35,0,5,30,2,3,3,27,0.14285714285714285
control,BalancerMaxis/multisig-ops,2025-07,22,0,7,15,6,8,1,7,0.3181818181818182
control,BalancerMaxis/multisig-ops,2025-08,66,0,8,58,6,30,2,28,0.12121212121212122
control,Benzauber/convert-commander,2024-11,17,0,5,12,5,12,0,0,0.29411764705882354
control,Benzauber/convert-commander,2024-12,0,0,0,0,0,0,0,0,
control,Benzauber/convert-commander,2025-01,14,0,5,9,4,0,1,9,0.35714285714285715
control,Benzauber/convert-commander,2025-03,0,0,0,0,0,0,0,0,
control,Benzauber/convert-commander,2025-05,1,0,1,0,1,0,0,0,1.0
control,Benzauber/convert-commander,2025-06,5,0,3,2,2,0,1,2,0.6
control,Benzauber/convert-commander,2025-07,0,0,0,0,0,0,0,0,
control,Benzauber/convert-commander,2025-08,11,0,5,6,4,3,1,3,0.45454545454545453
control,BiancoChiu/iOSRealRun-cli-18,2024-02,29,0,16,13,13,12,3,1,0.5517241379310345
control,BiancoChiu/iOSRealRun-cli-18,2024-03,1,0,0,1,0,0,0,1,0.0
control,BiancoChiu/iOSRealRun-cli-18,2025-02,8,0,0,8,0,1,0,7,0.0
control,BiancoChiu/iOSRealRun-cli-18,2025-03,2,0,1,1,0,0,1,1,0.5
control,BiancoChiu/iOSRealRun-cli-18,2025-05,0,0,0,0,0,0,0,0,
control,BiancoChiu/iOSRealRun-cli-18,2025-06,0,0,0,0,0,0,0,0,
control,C4NU/Paddie,2024-01,10,0,1,9,0,0,1,9,0.1
control,C4NU/Paddie,2024-02,7,0,0,7,0,0,0,7,0.0
control,C4NU/Paddie,2024-03,14,0,4,10,1,0,3,10,0.2857142857142857
control,C4NU/Paddie,2024-04,0,0,0,0,0,0,0,0,
control,C4NU/Paddie,2025-03,174,0,77,97,75,79,2,18,0.4425287356321839
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-05,0,0,0,0,0,0,0,0,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-06,0,0,0,0,0,0,0,0,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-07,311,0,92,219,92,215,0,4,0.2958199356913183
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-08,4,0,4,0,4,0,0,0,1.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-09,10,0,10,0,10,0,0,0,1.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-10,208,0,61,147,61,134,0,13,0.2932692307692308
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-11,0,0,0,0,0,0,0,0,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-12,0,0,0,0,0,0,0,0,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-01,0,0,0,0,0,0,0,0,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-02,0,0,0,0,0,0,0,0,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-03,377,0,108,269,108,268,0,1,0.2864721485411141
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-04,0,0,0,0,0,0,0,0,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-05,0,0,0,0,0,0,0,0,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-08,142,0,23,119,9,53,14,66,0.1619718309859155
control,Drchip61/Dual_SAM,2024-03,268,0,84,184,84,184,0,0,0.31343283582089554
control,Drchip61/Dual_SAM,2024-04,0,0,0,0,0,0,0,0,
control,Drchip61/Dual_SAM,2024-12,0,0,0,0,0,0,0,0,
control,EURAC-EEBgroup/brick-llm,2024-09,27,0,10,17,10,17,0,0,0.37037037037037035
control,EURAC-EEBgroup/brick-llm,2024-10,160,0,61,99,23,19,38,80,0.38125
control,EURAC-EEBgroup/brick-llm,2024-11,17,0,3,14,2,2,1,12,0.17647058823529413
control,EURAC-EEBgroup/brick-llm,2024-12,11,0,2,9,0,1,2,8,0.18181818181818182
control,EURAC-EEBgroup/brick-llm,2025-01,1,0,0,1,0,0,0,1,0.0
