model,class,precision,recall,f1,support
codellama-7b,HWC,0.675,0.72,0.6968,150
codellama-7b,AGC,0.7,0.6533,0.6759,150
codellama-7b,avg,0.6875,0.6867,0.6863,300
codellama-7b,accuracy,,,0.6867,300
codellama-7b,auroc,,,0.7648,300
gemma,HWC,0.6781,0.66,0.6689,150
gemma,AGC,0.6688,0.6867,0.6776,150
gemma,avg,0.6735,0.6733,0.6733,300
gemma,accuracy,,,0.6733,300
gemma,auroc,,,0.746,300
gpt-oss,HWC,0.7935,0.82,0.8066,150
gpt-oss,AGC,0.8138,0.7867,0.8,150
gpt-oss,avg,0.8037,0.8033,0.8033,300
gpt-oss,accuracy,,,0.8033,300
gpt-oss,auroc,,,0.8818,300
starcoder2-15b-instruct-v0.1,HWC,0.719,0.7333,0.7261,150
starcoder2-15b-instruct-v0.1,AGC,0.7279,0.7133,0.7205,150
starcoder2-15b-instruct-v0.1,avg,0.7234,0.7233,0.7233,300
starcoder2-15b-instruct-v0.1,accuracy,,,0.7233,300
starcoder2-15b-instruct-v0.1,auroc,,,0.7748,300
starcoder2-7b,HWC,0.6753,0.6933,0.6842,150
starcoder2-7b,AGC,0.6849,0.6667,0.6757,150
starcoder2-7b,avg,0.6801,0.68,0.6799,300
starcoder2-7b,accuracy,,,0.68,300
starcoder2-7b,auroc,,,0.7789,300
