==> src/app/data_mixed_samples/codellama-7b_4500_complexity_stratified_maxlen2048/50x6/predictions/roc_curve.csv <==
fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006666666666666667,3.5645
0.0,0.11333333333333333,2.1932
0.006666666666666667,0.11333333333333333,2.1888
0.006666666666666667,0.16666666666666666,1.8733
0.02,0.16666666666666666,1.817
0.02,0.18,1.7816
0.02666666666666667,0.18,1.7646
0.02666666666666667,0.2,1.6754
0.03333333333333333,0.2,1.644
0.03333333333333333,0.21333333333333335,1.5984
0.04,0.21333333333333335,1.5555
0.04,0.28,1.3806
0.06,0.28,1.3508
0.06,0.30666666666666664,1.3077
0.07333333333333333,0.30666666666666664,1.304
0.07333333333333333,0.32666666666666666,1.2587
0.08,0.32666666666666666,1.247
0.08,0.36,1.1765
0.1,0.36,1.1519
0.1,0.37333333333333335,1.0483
0.10666666666666667,0.37333333333333335,1.0386
0.10666666666666667,0.38,1.0142
0.11333333333333333,0.38,1.012
0.11333333333333333,0.41333333333333333,0.9333
0.12666666666666668,0.41333333333333333,0.8992
0.12666666666666668,0.42,0.8991
0.13333333333333333,0.42,0.8881
0.13333333333333333,0.47333333333333333,0.7637
0.14,0.47333333333333333,0.7416
0.14,0.4866666666666667,0.7205
0.14666666666666667,0.4866666666666667,0.7152
0.14666666666666667,0.5,0.7121
0.15333333333333332,0.5,0.6853
0.15333333333333332,0.5133333333333333,0.6786
0.16,0.5133333333333333,0.66
0.16,0.5466666666666666,0.5997
0.17333333333333334,0.5466666666666666,0.593
0.17333333333333334,0.5533333333333333,0.5906
0.18,0.5533333333333333,0.5846
0.18,0.5666666666666667,0.5666
0.2,0.5666666666666667,0.5125
0.2,0.6133333333333333,0.4314
0.22,0.6133333333333333,0.3978
0.22,0.62,0.3557
0.24666666666666667,0.62,0.2996
0.24666666666666667,0.6266666666666667,0.2937
0.25333333333333335,0.6266666666666667,0.2906
0.25333333333333335,0.6466666666666666,0.2799
0.26,0.6466666666666666,0.2736
0.26,0.66,0.2372
0.2866666666666667,0.66,0.1946
0.2866666666666667,0.6666666666666666,0.1872
0.3,0.6666666666666666,0.1742
0.3,0.7,0.1274
0.30666666666666664,0.7,0.0976
0.30666666666666664,0.72,0.0805
0.3466666666666667,0.72,0.0127
0.3466666666666667,0.74,-0.0565
0.35333333333333333,0.74,-0.074
0.35333333333333333,0.76,-0.09
0.36,0.76,-0.1135
0.36,0.7666666666666667,-0.1298
0.36666666666666664,0.7666666666666667,-0.143
0.36666666666666664,0.7933333333333333,-0.1636
0.4066666666666667,0.7933333333333333,-0.1958
