name,n_blocks,n_human,n_lm,py_path,labels_path
mixed_sample_001,4,3,1,src/app/mixed_samples/mixed_sample_001.py,src/app/mixed_samples/mixed_sample_001.labels.tsv
mixed_sample_002,4,1,3,src/app/mixed_samples/mixed_sample_002.py,src/app/mixed_samples/mixed_sample_002.labels.tsv
mixed_sample_003,4,2,2,src/app/mixed_samples/mixed_sample_003.py,src/app/mixed_samples/mixed_sample_003.labels.tsv
mixed_sample_004,5,4,1,src/app/mixed_samples/mixed_sample_004.py,src/app/mixed_samples/mixed_sample_004.labels.tsv
mixed_sample_005,5,1,4,src/app/mixed_samples/mixed_sample_005.py,src/app/mixed_samples/mixed_sample_005.labels.tsv
mixed_sample_006,6,3,3,src/app/mixed_samples/mixed_sample_006.py,src/app/mixed_samples/mixed_sample_006.labels.tsv
mixed_sample_007,6,5,1,src/app/mixed_samples/mixed_sample_007.py,src/app/mixed_samples/mixed_sample_007.labels.tsv
mixed_sample_008,6,1,5,src/app/mixed_samples/mixed_sample_008.py,src/app/mixed_samples/mixed_sample_008.labels.tsv
mixed_sample_009,4,0,4,src/app/mixed_samples/mixed_sample_009.py,src/app/mixed_samples/mixed_sample_009.labels.tsv
mixed_sample_010,4,4,0,src/app/mixed_samples/mixed_sample_010.py,src/app/mixed_samples/mixed_sample_010.labels.tsv
