idx,code,label
24,"def largest_divisor(n: int) -> int:
    for i in reversed(range(n)):
        if n % i == 0:
            return i
",human
5,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
",human
150,"def x_or_y(n, x, y):
    if n == 1:
        return y
    for i in range(2, n):
        if n % i == 0:
            return y
            break
    else:
        return x
",human
72,"def will_it_fly(q, w):
    return q == q[::-1] and sum(q) <= w",lm
100,"def make_a_pile(n):
    return [n + 2*i for i in range(n)]
",human
77,"def iscube(a):
    a = abs(a)
    return int(round(a ** (1. / 3))) ** 3 == a
",human
30,"def get_positive(l: list):
    return [n for n in l if n > 0]",lm
41,"def car_race_collision(n: int):
    return n**2
",human
132,"def is_nested(string):
    balance = 0
    nested = False
    for char in string:
        if char == '[':
            balance += 1
        elif char == ']':
            balance -= 1
        if balance > 1:
            nested = True
        if balance < 0:  # Early exit for invalid sequences
            return False
    return nested and balance == 0",lm
67,"def fruit_distribution(s,n):
    lis = list()
    for i in s.split(' '):
        if i.isdigit():
            lis.append(int(i))
    return n - sum(lis)
",human
17,"from typing import List


def parse_music(music_string: str) -> List[int]:
    note_map = {'o': 4, 'o|': 2, '.|': 1}
    return [note_map[x] for x in music_string.split(' ') if x]
",human
10,"def is_palindrome(string: str) -> bool:
    return string == string[::-1]

def make_palindrome(string: str) -> str:
    if is_palindrome(string):
        return string
    for i in range(len(string), -1, -1):
        if is_palindrome(string[:i]):
            return string + string[:len(string) - i][::-1]
    return string",lm
148,"def bf(planet1, planet2):
    planet_names = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    if planet1 not in planet_names or planet2 not in planet_names or planet1 == planet2:
        return ()
    planet1_index = planet_names.index(planet1)
    planet2_index = planet_names.index(planet2)
    if planet1_index < planet2_index:
        return (planet_names[planet1_index + 1: planet2_index])
    else:
        return (planet_names[planet2_index + 1 : planet1_index])
",human
15,"def string_sequence(n: int) -> str:
    return ' '.join(str(i) for i in range(n + 1))",lm
133,"def sum_squares(lst):
    import math
    squared = 0
    for i in lst:
        squared += math.ceil(i)**2
    return squared
",human
102,"def choose_num(x, y):
    for num in range(y, x-1, -1):
        if num % 2 == 0:
            return num
    return -1",lm
105,"def by_length(arr):
    digit_names = {
        1: ""One"", 2: ""Two"", 3: ""Three"", 4: ""Four"",
        5: ""Five"", 6: ""Six"", 7: ""Seven"", 8: ""Eight"", 9: ""Nine""
    }
    # Filter, sort in ascending, then reverse for descending order
    sorted_arr = sorted([item for item in arr if 1 <= item <= 9], reverse=True)
    # Replace digits with names
    return [digit_names[item] for item in sorted_arr]",lm
142,"def sum_squares(lst):
    total = 0
    for i, num in enumerate(lst):
        if i % 3 == 0:
            total += num ** 2
        elif i % 4 == 0:
            total += num ** 3
        else:
            total += num
    return total",lm
107,"def even_odd_palindrome(n):
    def is_palindrome(x):
        return str(x) == str(x)[::-1]
    
    even_count, odd_count = 0, 0
    for i in range(1, n + 1):
        if is_palindrome(i):
            if i % 2 == 0:
                even_count += 1
            else:
                odd_count += 1
                
    return (even_count, odd_count)",lm
117,"def select_words(s, n):
    def consonant_count(word):
        consonants = ""bcdfghjklmnpqrstvwxyz""
        return sum(letter.lower() in consonants for letter in word)

    words = s.split()
    selected_words = [word for word in words if consonant_count(word) == n]
    return selected_words",lm
36,"def fizz_buzz(n: int):
    ns = []
    for i in range(n):
        if i % 11 == 0 or i % 13 == 0:
            ns.append(i)
    s = ''.join(list(map(str, ns)))
    ans = 0
    for c in s:
        ans += (c == '7')
    return ans
",human
103,"def rounded_avg(n, m):
    if n > m:
        return -1
    sum_of_numbers = sum(range(n, m + 1))
    total_numbers = m - n + 1
    average = round(sum_of_numbers / total_numbers)
    return bin(average)",lm
18,"def how_many_times(string: str, substring: str) -> int:
    times = 0

    for i in range(len(string) - len(substring) + 1):
        if string[i:i+len(substring)] == substring:
            times += 1

    return times
",human
76,"def is_simple_power(x, n):
    if (n == 1): 
        return (x == 1) 
    power = 1
    while (power < x): 
        power = power * n 
    return (power == x) 
",human
98,"def count_upper(s):
    count = 0
    vowels = 'AEIOU'
    for i in range(0, len(s), 2):
        if s[i] in vowels:
            count += 1
    return count",lm
80,"def is_happy(s):
    if len(s) < 3:
        return False
    for i in range(len(s) - 2):
        if s[i] == s[i + 1] or s[i] == s[i + 2] or s[i + 1] == s[i + 2]:
            return False
    return True",lm
39,"def prime_fib(n: int):
    import math

    def is_prime(p):
        if p < 2:
            return False
        for k in range(2, min(int(math.sqrt(p)) + 1, p - 1)):
            if p % k == 0:
                return False
        return True
    f = [0, 1]
    while True:
        f.append(f[-1] + f[-2])
        if is_prime(f[-1]):
            n -= 1
        if n == 0:
            return f[-1]
",human
103,"def rounded_avg(n, m):
    if m < n:
        return -1
    summation = 0
    for i in range(n, m+1):
        summation += i
    return bin(round(summation/(m - n + 1)))
",human
1,"from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    cleaned_string = paren_string.replace("" "", """")
    result = []
    depth = 0
    current_group = []

    for char in cleaned_string:
        if char == '(':
            depth += 1
            current_group.append(char)
        elif char == ')':
            depth -= 1
            current_group.append(char)
            if depth == 0:
                result.append(''.join(current_group))
                current_group = []

    return result",lm
157,"def right_angle_triangle(a, b, c):
    return a*a == b*b + c*c or b*b == a*a + c*c or c*c == a*a + b*b
",human
124,"def valid_date(date):
    try:
        date = date.strip()
        month, day, year = date.split('-')
        month, day, year = int(month), int(day), int(year)
        if month < 1 or month > 12:
            return False
        if month in [1,3,5,7,8,10,12] and day < 1 or day > 31:
            return False
        if month in [4,6,9,11] and day < 1 or day > 30:
            return False
        if month == 2 and day < 1 or day > 29:
            return False
    except:
        return False

    return True
",human
93,"def encode(message):
    vowels = 'aeiouAEIOU'
    swap_case = message.swapcase()
    encoded = ''
    for char in swap_case:
        if char in vowels:
            if char.isupper():
                # Find the index of the vowel in the uppercase string, add 2 and get the corresponding char
                encoded += chr(((ord(char) - 65 + 2) % 26) + 65) 
            else:
                # Find the index of the vowel in the lowercase string, add 2 and get the corresponding char
                encoded += chr(((ord(char) - 97 + 2) % 26) + 97)
        else:
            encoded += char
    return encoded",lm
9,"from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    if not numbers:
        return []
    max_list = [numbers[0]]
    for num in numbers[1:]:
        max_list.append(max(max_list[-1], num))
    return max_list",lm
114,"def minSubArraySum(nums):
    max_sum = 0
    s = 0
    for num in nums:
        s += -num
        if (s < 0):
            s = 0
        max_sum = max(s, max_sum)
    if max_sum == 0:
        max_sum = max(-i for i in nums)
    min_sum = -max_sum
    return min_sum
",human
44,"def change_base(x: int, base: int):
    ret = """"
    while x > 0:
        ret = str(x % base) + ret
        x //= base
    return ret
",human
55,"def fib(n: int):
    if n == 0:
        return 0
    if n == 1:
        return 1
    return fib(n - 1) + fib(n - 2)
",human
152,"def compare(game, guess):
    return [abs(g - s) if g != s else 0 for g, s in zip(game, guess)]",lm
3,"from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False",lm
134,"def check_if_last_char_is_a_letter(txt):
 
    check = txt.split(' ')[-1]
    return True if len(check) == 1 and (97 <= ord(check.lower()) <= 122) else False
",human
11,"def string_xor(a: str, b: str) -> str:
    return ''.join(['0' if char1 == char2 else '1' for char1, char2 in zip(a, b)])",lm
20,"from typing import List, Tuple


def find_closest_elements(numbers: List[float]) -> Tuple[float, float]:
    closest_pair = None
    distance = None

    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                if distance is None:
                    distance = abs(elem - elem2)
                    closest_pair = tuple(sorted([elem, elem2]))
                else:
                    new_distance = abs(elem - elem2)
                    if new_distance < distance:
                        distance = new_distance
                        closest_pair = tuple(sorted([elem, elem2]))

    return closest_pair
",human
123,"def get_odd_collatz(n):
    def collatz_sequence(x):
        sequence = [x]
        while x > 1:
            if x % 2 == 0:
                x = x // 2
            else:
                x = 3 * x + 1
            sequence.append(x)
        return sequence

    collatz_seq = collatz_sequence(n)
    odd_numbers = [num for num in collatz_seq if num % 2 != 0]
    return sorted(odd_numbers)",lm
155,"def even_odd_count(num):
    even_count = 0
    odd_count = 0
    for i in str(abs(num)):
        if int(i)%2==0:
            even_count +=1
        else:
            odd_count +=1
    return (even_count, odd_count)
",human
99,"def closest_integer(value):
    from math import floor, ceil

    if value.count('.') == 1:
        # remove trailing zeros
        while (value[-1] == '0'):
            value = value[:-1]

    num = float(value)
    if value[-2:] == '.5':
        if num > 0:
            res = ceil(num)
        else:
            res = floor(num)
    elif len(value) > 0:
        res = int(round(num))
    else:
        res = 0

    return res

",human
96,"def is_prime(num):
    if num in (0, 1):
        return False
    for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
            return False
    return True

def count_up_to(n):
    result = []
    for num in range(2, n):
        if is_prime(num):
            result.append(num)
    return result",lm
87,"def get_row(lst, x):
    coords = [(i, j) for i in range(len(lst)) for j in range(len(lst[i])) if lst[i][j] == x]
    return sorted(sorted(coords, key=lambda x: x[1], reverse=True), key=lambda x: x[0])
",human
151,"def double_the_difference(lst):
    return sum([i**2 for i in lst if i > 0 and i%2!=0 and ""."" not in str(i)])
",human
135,"def can_arrange(arr):
    for i in range(len(arr)-1, 0, -1):
        if arr[i] < arr[i-1]:
            return i
    return -1",lm
6,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
",human
56,"def correct_bracketing(brackets: str) -> bool:
    balance = 0
    for bracket in brackets:
        if bracket == ""<"":
            balance += 1
        elif bracket == "">"":
            if balance == 0:
                return False
            balance -= 1
            
    return balance == 0",lm
38,"def encode_cyclic(s: str):
    """"""
    returns encoded string by cycling groups of three characters.
    """"""
    # split string to groups. Each of length 3.
    groups = [s[(3 * i):min((3 * i + 3), len(s))] for i in range((len(s) + 2) // 3)]
    # cycle elements in each group. Unless group has fewer elements than 3.
    groups = [(group[1:] + group[0]) if len(group) == 3 else group for group in groups]
    return """".join(groups)


def decode_cyclic(s: str):
    return encode_cyclic(encode_cyclic(s))
",human
115,"def max_fill(grid, capacity):
    import math
    return sum([math.ceil(sum(arr)/capacity) for arr in grid])
",human
8,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
",human
154,"def cycpattern_check(a , b):
    l = len(b)
    pat = b + b
    for i in range(len(a) - l + 1):
        for j in range(l + 1):
            if a[i:i+l] == pat[j:j+l]:
                return True
    return False
",human
162,"def string_to_md5(text):
    import hashlib
    return hashlib.md5(text.encode('ascii')).hexdigest() if text else None
",human
42,"def incr_list(l: list):
    return [x + 1 for x in l]",lm
51,"def remove_vowels(text):
    vowels = 'aeiouAEIOU'
    return ''.join([char for char in text if char not in vowels])",lm
141,"def file_name_check(file_name):
    valid_extensions = ['txt', 'exe', 'dll']
    name_parts = file_name.split('.')

    # Check if there is exactly one dot in the name.
    if len(name_parts) != 2:
        return 'No'
    
    # Check the substring before the dot for required conditions.
    name_body, extension = name_parts
    if not name_body[0].isalpha():
        return 'No'
    
    # Ensure the name contains no more than three digits.
    digit_count = sum(c.isdigit() for c in name_body)
    if digit_count > 3:
        return 'No'
    
    # Check if the extension is valid.
    if extension not in valid_extensions:
        return 'No'
    
    return 'Yes'",lm
113,"def odd_count(lst):
    res = []
    for arr in lst:
        n = sum(int(d)%2==1 for d in arr)
        res.append(""the number of odd elements "" + str(n) + ""n the str""+ str(n) +""ng ""+ str(n) +"" of the ""+ str(n) +""nput."")
    return res
",human
71,"def triangle_area(a, b, c):
    if (a + b > c) and (a + c > b) and (b + c > a):
        s = (a + b + c) / 2
        area = (s*(s-a)*(s-b)*(s-c)) ** 0.5
        return round(area, 2)
    else:
        return -1",lm
47,"def median(l: list):
    sorted_list = sorted(l)
    n = len(sorted_list)
    mid = n // 2
    if n % 2 == 0:
        return (sorted_list[mid - 1] + sorted_list[mid]) / 2
    else:
        return sorted_list[mid]",lm
160,"def do_algebra(operator, operand):
    expression = str(operand[0])
    for oprt, oprn in zip(operator, operand[1:]):
        expression+= oprt + str(oprn)
    return eval(expression)
",human
85,"def add(lst):
    return sum([lst[i] for i in range(1, len(lst), 2) if lst[i]%2 == 0])
",human
16,"def count_distinct_characters(string: str) -> int:
    return len(set(string.lower()))",lm
163,"def generate_integers(a, b):
    # Ensure that the numbers are in ascending order.
    if b < a:
        a, b = b, a
    # Generate and filter even integers between a and b (inclusive).
    return [i for i in range(a, b + 1) if i % 2 == 0]",lm
156,"def int_to_mini_roman(number):
    num_map = [(1000, 'm'), (900, 'cm'), (500, 'd'), (400, 'cd'), (100, 'c'), (90, 'xc'), 
               (50, 'l'), (40, 'xl'), (10, 'x'), (9, 'ix'), (5, 'v'), (4, 'iv'), (1, 'i')]
    roman = ''

    while number > 0:
        for i, numeral in num_map:
            while number >= i:
                roman += numeral
                number -= i
    return roman",lm
58,"def common(l1: list, l2: list):
    return sorted(list(set(l1) & set(l2)))",lm
78,"def hex_key(num):
    primes = ('2', '3', '5', '7', 'B', 'D')
    total = 0
    for i in range(0, len(num)):
        if num[i] in primes:
            total += 1
    return total
",human
128,"def prod_signs(arr):
    if not arr:
        return None
    product_of_signs = 1
    sum_of_magnitudes = 0
    for num in arr:
        product_of_signs *= (-1 if num < 0 else (1 if num > 0 else 0))
        sum_of_magnitudes += abs(num)
    return sum_of_magnitudes * product_of_signs",lm
138,"def is_equal_to_sum_even(n):
    if n < 8 or n % 2 != 0:  # Since the smallest sum of 4 even numbers is 2+2+2+2=8 and n must be even
        return False
    else:
        return n >= 8 and n % 2 == 0",lm
45,"def triangle_area(a, h):
    return a * h / 2.0
",human
59,"def largest_prime_factor(n: int):
    def is_prime(k):
        if k < 2:
            return False
        for i in range(2, k - 1):
            if k % i == 0:
                return False
        return True
    largest = 1
    for j in range(2, n + 1):
        if n % j == 0 and is_prime(j):
            largest = max(largest, j)
    return largest
",human
129,"def minPath(grid, k):
    n = len(grid)
    val = n * n + 1
    for i in range(n):
        for j in range(n):
            if grid[i][j] == 1:
                temp = []
                if i != 0:
                    temp.append(grid[i - 1][j])

                if j != 0:
                    temp.append(grid[i][j - 1])

                if i != n - 1:
                    temp.append(grid[i + 1][j])

                if j != n - 1:
                    temp.append(grid[i][j + 1])

                val = min(temp)

    ans = []
    for i in range(k):
        if i % 2 == 0:
            ans.append(1)
        else:
            ans.append(val)
    return ans
",human
47,"def median(l: list):
    l = sorted(l)
    if len(l) % 2 == 1:
        return l[len(l) // 2]
    else:
        return (l[len(l) // 2 - 1] + l[len(l) // 2]) / 2.0
",human
56,"def correct_bracketing(brackets: str):
    depth = 0
    for b in brackets:
        if b == ""<"":
            depth += 1
        else:
            depth -= 1
        if depth < 0:
            return False
    return depth == 0
",human
79,"def decimal_to_binary(decimal):
    return ""db"" + bin(decimal)[2:] + ""db""
",human
