idx,code,label
156,"def int_to_mini_roman(number):
    values = [
        1000, 900, 500, 400, 100,
        90, 50, 40, 10, 9, 5, 4, 1
    ]
    roman_values = [
        ""m"", ""cm"", ""d"", ""cd"", ""c""
        ""xc"", ""l"", ""xl"", ""x"", ""ix"", ""v"", ""iv"", ""i""
    ]
    roman_number = ''
    i = 0
    while number > 0:
        for _ in range(number // values[i]):
            roman_number += roman_values[i]
            number -= values[i]
        i += 1
    return roman_number",lm
143,"def words_in_sentence(sentence):

    def is_prime(n):
        if n <= 1:
            return False
        if n <= 3:
            return True
        if n % 2 == 0 or n % 3 == 0:
            return False
        i = 5
        while i * i <= n:
            if n % i == 0 or n % (i + 2) == 0:
                return False
            i += 6
        return True

    words = sentence.split()
    new_sentence = """"
    for word in words:
        if is_prime(len(word)):
            new_sentence += word + "" ""

    return new_sentence.strip()",lm
33,"def sort_third(l: list):
    """"""This function takes a list l and returns a list l' such that
    l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal
    to the values of the corresponding indicies of l, but sorted.
    >>> sort_third([1, 2, 3])
    [1, 2, 3]
    >>> sort_third([5, 6, 3, 4, 8, 9, 2])
    [2, 6, 3, 4, 8, 9, 5]
    """"""
    ret = []
    for i in range(len(l)):
        if i % 3 == 0:
            ret.append(sorted(l[i:i+3])[i % 3])
        else:
            ret.append(l[i])
    return ret",lm
35,"def max_element(l: list):
    m = l[0]
    for e in l:
        if e > m:
            m = e
    return m
",human
128,"def prod_signs(arr):
    if not arr:
        return None

    sign = 1
    sum = 0

    for num in arr:
        if num == 0:
            return 0
        
        if num < 0:
            sign *= -1

        sum += abs(num)

    return sign * sum",lm
55,"def fib(n: int):
    """"""Return n-th Fibonacci number.
    >>> fib(10)
    55
    >>> fib(1)
    1
    >>> fib(8)
    21
    """"""
    if n < 2:
        return n
    else:
        return fib(n-1) + fib(n-2)",lm
103,"def rounded_avg(n, m):
    if m < n:
        return -1
    summation = 0
    for i in range(n, m+1):
        summation += i
    return bin(round(summation/(m - n + 1)))
",human
91,"def is_bored(S):
    import re
    sentences = re.split(r'[.?!]\s*', S)
    return sum(sentence[0:2] == 'I ' for sentence in sentences)
",human
141,"def file_name_check(file_name):

    # Split the file name into two parts: the substring before the dot and the substring after the dot.

    file_name_parts = file_name.split('.')

    # Check if the file's name has a valid number of digits.

    if len([char for char in file_name if char.isdigit()]) > 3:
        return 'No'

    # Check if the file's name contains exactly one dot.

    if len(file_name_parts) != 2:
        return 'No'

    # Check if the substring before the dot is not empty and starts with a latin alphapet letter.

    if not file_name_parts[0] or not file_name_parts[0][0].isalpha():
        return 'No'

    # Check if the substring after the dot is one of these: ['txt', 'exe', 'dll'].

    if file_name_parts[1] not in ['txt', 'exe', 'dll']:
        return 'No'

    # If all the conditions are met, return 'Yes'.

    return 'Yes'",lm
104,"def unique_digits(x):
    ret = []
    for i in x:
      flag = True
      for ch in str(i):
        num = int(ch)
        if(num % 2 == 0):
          flag = False
          break
      if(flag):
        ret.append(i)

    ret.sort()
    return ret",lm
148,"def bf(planet1, planet2):
    planet_names = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    if planet1 not in planet_names or planet2 not in planet_names or planet1 == planet2:
        return ()
    planet1_index = planet_names.index(planet1)
    planet2_index = planet_names.index(planet2)
    if planet1_index < planet2_index:
        return (planet_names[planet1_index + 1: planet2_index])
    else:
        return (planet_names[planet2_index + 1 : planet1_index])
",human
50,"def encode_shift(s: str):
    """"""
    returns encoded string by shifting every character by 5 in the alphabet.
    """"""
    return """".join([chr(((ord(ch) + 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])


def decode_shift(s: str):
    return """".join([chr(((ord(ch) - 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])
",human
87,"def get_row(lst, x):
    result = []
    for i in range(len(lst)):
      for j in range(len(lst[i])):
        if lst[i][j] == x:
          result.append((i, j))

    return sorted(result, key = lambda x: (x[0], -x[1]))",lm
10,"def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
    reversed_string = string[::-1]

    # Find the longest postfix of a supplied string that is a palindrome
    # Update the result only if is not already a palindrome
    result = ''

    for index in range(len(string)):
        postfix = string[index:]
        if is_palindrome(postfix) and (index > len(result)):
            result = postfix

    # Append the reversed prefix to the end of the supplied string
    return string + reversed_string[len(result):]",lm
72,"def will_it_fly(q,w):
    if sum(q) > w:
        return False

    i, j = 0, len(q)-1
    while i<j:
        if q[i] != q[j]:
            return False
        i+=1
        j-=1
    return True
",human
85,"def add(lst):
    return sum([lst[i] for i in range(1, len(lst), 2) if lst[i]%2 == 0])
",human
159,"def eat(number, need, remaining):
    
    total_eaten_carrots = number + need
    
    if total_eaten_carrots <= remaining:
        remaining_carrots = remaining - total_eaten_carrots
    else:
        remaining_carrots = 0
    
    return [total_eaten_carrots, remaining_carrots]",lm
11,"from typing import List


def string_xor(a: str, b: str) -> str:
    def xor(i, j):
        if i == j:
            return '0'
        else:
            return '1'

    return ''.join(xor(x, y) for x, y in zip(a, b))
",human
77,"def iscube(a):
    a = abs(a)
    return int(round(a ** (1. / 3))) ** 3 == a
",human
25,"from typing import List


def factorize(n: int) -> List[int]:
    factors = []
    divisor = 2
    while divisor <= n:
        if n % divisor == 0:
            factors.append(divisor)
            n //= divisor
        else:
            divisor += 1
    return factors",lm
