idx,code,label
798,"def sum_of_array(arr):
    return sum(arr)",lm
34,"def find_missing(ar,N): 
    l = 0
    r = N - 1
    while (l <= r):  
        mid = (l + r) / 2
        mid= int (mid) 
        if (ar[mid] != mid + 1 and ar[mid - 1] == mid): 
            return (mid + 1)  
        elif (ar[mid] != mid + 1): 
            r = mid - 1 
        else: 
            l = mid + 1
    return (-1) ",human
694,"def extract_unique(test_dict):
  res = list(sorted({ele for val in test_dict.values() for ele in val}))
  return res",human
706,"def is_subset(arr1, m, arr2, n): 
	hashset = set() 
	for i in range(0, m): 
		hashset.add(arr1[i]) 
	for i in range(0, n): 
		if arr2[i] in hashset: 
			continue
		else: 
			return False
	return True		",human
16,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')",human
482,"import re 
def match(text): 
		pattern = '[A-Z]+[a-z]+$'
		if re.search(pattern, text): 
				return('Yes') 
		else: 
				return('No') ",human
582,"def is_dict_empty(d):
    return not bool(d)",lm
781,"def is_divisor_count_even(number):
    divisor_count = 0
    for i in range(1, number + 1):
        if number % i == 0:
            divisor_count += 1
    return divisor_count % 2 == 0",lm
870,"def sum_of_positives(numbers):
    return sum(filter(lambda x: x > 0, numbers))",lm
403,"import re
def is_valid_URL(str):
	regex = (""((http|https)://)(www.)?"" +
			""[a-zA-Z0-9@:%._\\+~#?&//=]"" +
			""{2,256}\\.[a-z]"" +
			""{2,6}\\b([-a-zA-Z0-9@:%"" +
			""._\\+~#?&//=]*)"")
	p = re.compile(regex)
	if (str == None):
		return False
	if(re.search(p, str)):
		return True
	else:
		return False",human
43,"import re

def find_sequences(text):
    pattern = r""\b[a-z]+(_[a-z]+)+\b""
    return re.findall(pattern, text)",lm
892,"import re
def remove_spaces(text):
 return (re.sub(' +',' ',text))",human
313,"def pos_nos(list1):
  for num in list1: 
    if num >= 0: 
       return num ",human
590,"import cmath
def polar_rect(x,y):
 cn = complex(x,y)
 cn=cmath.polar(cn)
 cn1 = cmath.rect(2, cmath.pi)
 return (cn,cn1)",human
292,"def find(n,m):  
    q = n//m 
    return (q)",human
759,"def is_decimal(num):
    import re
    dnumre = re.compile(r""""""^[0-9]+(\.[0-9]{1,2})?$"""""")
    result = dnumre.search(num)
    return bool(result)",human
561,"def pair_elements(tuple_data):
    result = {}
    for pair in tuple_data:
        for element in pair:
            other_elements = set(pair) - {element}
            if element in result:
                result[element].update(other_elements)
            else:
                result[element] = other_elements
    return result",lm
