idx,code,label
179,"def is_num_keith(x): 
	terms = [] 
	temp = x 
	n = 0 
	while (temp > 0): 
		terms.append(temp % 10) 
		temp = int(temp / 10) 
		n+=1 
	terms.reverse() 
	next_term = 0 
	i = n 
	while (next_term < x): 
		next_term = 0 
		for j in range(1,n+1): 
			next_term += terms[i - j] 
		terms.append(next_term) 
		i+=1 
	return (next_term == x) ",human
669,"import re

def validate_ip_address(ip_address):
    pattern = r""^(?:[0-9]{1,3}\.){3}[0-9]{1,3}$""
    if re.match(pattern, ip_address):
        return True
    else:
        return False",lm
288,"def modular_inverse(arr, N, P):
	current_element = 0
	for i in range(0, N):
		if ((arr[i] * arr[i]) % P == 1):
			current_element = current_element + 1
	return current_element",human
520,"def find_lcm(arr):
    if len(arr) == 0:
        return None
    
    lcm = arr[0]
    for i in range(1, len(arr)):
        num1 = lcm
        num2 = arr[i]
        while True:
            if num1 % num2 == 0:
                lcm = num1
                break
            num1 += lcm
    
    return lcm",lm
799,"def left_rotate_bits(number, rotations):
    return (number << rotations) | (number >> (32 - rotations))",lm
629,"def Split(list): 
    ev_li = [] 
    for i in list: 
        if (i % 2 == 0): 
            ev_li.append(i)  
    return ev_li",human
527,"def find_pairs(arr, target):
    pairs = []
    for i in range(len(arr)):
        for j in range(i + 1, len(arr)):
            if arr[i] + arr[j] == target:
                pairs.append((arr[i], arr[j]))
    return pairs",lm
965,"def camel_to_snake(camel_case_string):
    snake_case_string = ''
    for index, char in enumerate(camel_case_string):
        if char.isupper():
            if index != 0:
                snake_case_string += '_'
            snake_case_string += char.lower()
        else:
            snake_case_string += char
    return snake_case_string",lm
974,"def minimum_total(triangle):
    if not triangle:
        return 0

    dp = triangle[-1]
    for i in range(len(triangle) - 2, -1, -1):
        for j in range(len(triangle[i])):
            dp[j] = triangle[i][j] + min(dp[j], dp[j + 1])

    return dp[0]",lm
904,"def is_even(number):
    if number % 2 == 0:
        return True
    else:
        return False",lm
759,"def check_decimal_precision(decimal):
    if isinstance(decimal, float):
        return round(decimal, 2) == decimal
    return False",lm
494,"def binary_tuple_to_integer(binary_tuple):
    binary_string = """".join(str(bit) for bit in binary_tuple)
    return int(binary_string, 2)",lm
958,"def int_to_roman(num):
    roman_numerals = {
        1000: ""M"",
        900: ""CM"",
        500: ""D"",
        400: ""CD"",
        100: ""C"",
        90: ""XC"",
        50: ""L"",
        40: ""XL"",
        10: ""X"",
        9: ""IX"",
        5: ""V"",
        4: ""IV"",
        1: ""I""
    }
    roman_string = """"
    for value, symbol in roman_numerals.items():
        while num >= value:
            roman_string += symbol
            num -= value
    return roman_string",lm
784,"def find_product(list):
    """"""
    Find the product of first even and odd numbers in a given list.

    Args:
    list (list): The input list of numbers.

    Returns:
    int: The product of the first even and odd numbers.
    """"""
    even_product = 1
    odd_product = 1

    for num in list:
        if num % 2 == 0:
            even_product *= num
        else:
            odd_product *= num
    
    return even_product * odd_product",lm
146,"def ascii_value_string(str1):
  for i in range(len(str1)):
   return ord(str1[i])",human
706,"def is_subset(array1, array2):
    return set(array1).issubset(set(array2))",lm
397,"def find_median(a, b, c):
    numbers = [a, b, c]
    numbers.sort()
    return numbers[1]",lm
234,"def volume_cube(l):
  volume = l * l * l
  return volume",human
937,"def count_most_common_character(string):
    char_count = {}
    for char in string:
        if char in char_count:
            char_count[char] += 1
        else:
            char_count[char] = 1
    most_common_char = max(char_count, key=char_count.get)
    return most_common_char",lm
925,"def mutiple_tuple(nums):
    temp = list(nums)
    product = 1 
    for x in temp:
        product *= x
    return product",human
859,"from itertools import combinations
def sub_lists(my_list):
	subs = []
	for i in range(0, len(my_list)+1):
	  temp = [list(x) for x in combinations(my_list, i)]
	  if len(temp)>0:
	    subs.extend(temp)
	return subs",human
834,"def generate_matrix(n):
        if n<=0:
            return [] 
        matrix=[row[:] for row in [[0]*n]*n]        
        row_st=0
        row_ed=n-1        
        col_st=0
        col_ed=n-1
        current=1        
        while (True):
            if current>n*n:
                break
            for c in range (col_st, col_ed+1):
                matrix[row_st][c]=current
                current+=1
            row_st+=1
            for r in range (row_st, row_ed+1):
                matrix[r][col_ed]=current
                current+=1
            col_ed-=1
            for c in range (col_ed, col_st-1, -1):
                matrix[row_ed][c]=current
                current+=1
            row_ed-=1
            for r in range (row_ed, row_st-1, -1):
                matrix[r][col_st]=current
                current+=1
            col_st+=1
        return matrix",human
702,"def find_ind(key, i, n, 
			k, arr):
	ind = -1
	start = i + 1
	end = n - 1;
	while (start < end):
		mid = int(start +
				(end - start) / 2)
		if (arr[mid] - key <= k):
			ind = mid
			start = mid + 1
		else:
			end = mid
	return ind
def removals(arr, n, k):
	ans = n - 1
	arr.sort()
	for i in range(0, n):
		j = find_ind(arr[i], i, 
					n, k, arr)
		if (j != -1):
			ans = min(ans, n -
						(j - i + 1))
	return ans",human
218,"def min_operations(num1, num2):
    count = 0
  
    while(num1 != num2):
        if num1 % 2 != 0:
            num1 -= 1
            count += 1
  
        elif num1 > num2:
            num1 //= 2
            count += 1
        else:
            num1 *= 2
            count += 1
  
    return count",lm
877,"def sort_String(str) : 
    str = ''.join(sorted(str)) 
    return (str) ",human
784,"def mul_even_odd(list1):
    first_even = next((el for el in list1 if el%2==0),-1)
    first_odd = next((el for el in list1 if el%2!=0),-1)
    return (first_even*first_odd)",human
253,"def count_integer(list1):
    ctr = 0
    for i in list1:
        if isinstance(i, int):
            ctr = ctr + 1
    return ctr",human
757,"def count_reverse_pairs(string_list):
    reverse_pairs = 0
    for i in range(0, len(string_list)):
        for j in range(i+1, len(string_list)):
            if string_list[i] == string_list[j][::-1]:
                reverse_pairs += 1
    return reverse_pairs",lm
508,"def check_order(list1, list2):
    """"""
    Check if the common elements between two given lists are in the same order or not.
    Args:
        list1 (list): The first list.
        list2 (list): The second list.
    Returns:
        bool: True if the common elements are in the same order, False otherwise.
    """"""
    common_elements = set(list1) & set(list2)
    if common_elements:
        index1 = 0
        index2 = 0
        for element in common_elements:
            index1 = list1.index(element, index1)
            index2 = list2.index(element, index2)
            if index1 > index2:
                return False
    return True",lm
431,"def have_common_element(list1, list2):
    for element in list1:
        if element in list2:
            return True
    return False",lm
308,"def large_product(nums1, nums2, N):
    result = sorted([x*y for x in nums1 for y in nums2], reverse=True)[:N]
    return result",human
617,"def min_Jumps(a, b, d): 
    temp = a 
    a = min(a, b) 
    b = max(temp, b) 
    if (d >= b): 
        return (d + b - 1) / b 
    if (d == 0): 
        return 0
    if (d == a): 
        return 1
    else:
        return 2",human
421,"def concatenate_tuple(test_tup):
    delim = ""-""
    res = ''.join([str(ele) + delim for ele in test_tup])
    res = res[ : len(res) - len(delim)]
    return (str(res)) ",human
783,"def rgb_to_hsv(r, g, b):
    max_color = max(r, g, b)
    min_color = min(r, g, b)
    hue = 0.0
    saturation = 0.0
    value = max_color / 255.0

    if max_color != 0:
        saturation = (max_color - min_color) / max_color

    if min_color == max_color:
        hue = 0.0
    elif max_color == r:
        hue = (60 * (g - b) / (max_color - min_color) + 360) % 360
    elif max_color == g:
        hue = (60 * (b - r) / (max_color - min_color) + 120) % 360
    elif max_color == b:
        hue = (60 * (r - g) / (max_color - min_color) + 240) % 360

    return (hue, saturation, value)",lm
832,"import re 
def extract_max(input): 
	numbers = re.findall('\d+',input) 
	numbers = map(int,numbers) 
	return max(numbers)",human
117,"def list_to_float(test_list):
  res = []
  for tup in test_list:
    temp = []
    for ele in tup:
      if ele.isalpha():
        temp.append(ele)
      else:
        temp.append(float(ele))
    res.append((temp[0],temp[1])) 
  return (str(res)) ",human
97,"def frequency_lists(list1):
    list1 = [item for sublist in list1 for item in sublist]
    dic_data = {}
    for num in list1:
        if num in dic_data.keys():
            dic_data[num] += 1
        else:
            key = num
            value = 1
            dic_data[key] = value
    return dic_data
",human
496,"import heapq as hq
def heap_queue_smallest(nums,n):
  smallest_nums = hq.nsmallest(n, nums)
  return smallest_nums",human
144,"def sum_Pairs(arr,n): 
    sum = 0
    for i in range(n - 1,-1,-1): 
        sum += i*arr[i] - (n-1-i) * arr[i] 
    return sum",human
788,"def new_tuple(test_list, test_str):
  res = tuple(test_list + [test_str])
  return (res) ",human
87,"def merge_dicts(dict1, dict2, dict3):
    return {**dict1, **dict2, **dict3}",lm
654,"def find_perimeter(length, width):
    perimeter = 2 * (length + width)
    return perimeter",lm
526,"def capitalize_first_last_letters(str1):
     str1 = result = str1.title()
     result =  """"
     for word in str1.split():
        result += word[:-1] + word[-1].upper() + "" ""
     return result[:-1]  ",human
824,"def remove_even(l):
    for i in l:
        if i % 2 == 0:
            l.remove(i)
    return l",human
780,"def find_combinations(tuples):
    """"""
    Find the combinations of sums with tuples
    
    Args:
        tuples (list of tuples): The list of tuples
        
    Returns:
        list of tuples: The combinations of sums with tuples
    """"""
    result = []
    for i in range(len(tuples)):
        for j in range(i+1, len(tuples)):
            sum_tuple = tuple(a + b for a, b in zip(tuples[i], tuples[j]))
            result.append(sum_tuple)
    return result",lm
634,"def even_Power_Sum(n): 
    sum = 0; 
    for i in range(1,n + 1): 
        j = 2*i; 
        sum = sum + (j*j*j*j); 
    return sum; ",human
801,"def test_three_equal(x,y,z):
  result= set([x,y,z])
  if len(result)==3:
    return 0
  else:
    return (4-len(result))",human
770,"def odd_Num_Sum(n) : 
    j = 0
    sm = 0
    for i in range(1,n + 1) : 
        j = (2*i-1) 
        sm = sm + (j*j*j*j)   
    return sm ",human
116,"def convert_tuple_to_integer(tuple_numbers):
    """"""
    Convert a given tuple of positive integers into an integer.
    
    Parameters:
    tuple_numbers (tuple): A tuple of positive integers.
    
    Returns:
    int: The converted integer.
    """"""

    return int(''.join(str(n) for n in tuple_numbers))",lm
195,"def find_first_position(arr, target):
    low = 0
    high = len(arr) - 1
    result = -1

    while low <= high:
        mid = (low + high) // 2
        
        if arr[mid] == target:
            result = mid
            high = mid - 1
        elif arr[mid] < target:
            low = mid + 1
        else:
            high = mid - 1
    
    return result",lm
364,"def count_flips(binary_string):
    flips = 0
    for i in range(1, len(binary_string)):
        if binary_string[i] == binary_string[i-1]:
            flips += 1
    return flips",lm
146,"def find_ascii_value(string):
    total_ascii_value = 0
    for char in string:
        total_ascii_value += ord(char)
    return total_ascii_value",lm
44,"import re
def text_match_string(text):
        patterns = '^\w+'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return 'Not matched!'",human
