model_name	model	status	start_time	end_time	seconds	log_file
codellama-7b_4500_complexity_stratified_maxlen2048	lr	OK	2026-05-30T20:21:23-05:00	2026-05-30T20:21:38-05:00	15	/home/user1-system11/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_allmodels_20260530_202121/run4_codellama-7b_4500_complexity_stratified_maxlen2048_lr_20260530_202123.log
codellama-7b_4500_complexity_stratified_maxlen2048	svm	OK	2026-05-30T20:21:38-05:00	2026-05-30T20:23:32-05:00	114	/home/user1-system11/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_allmodels_20260530_202121/run4_codellama-7b_4500_complexity_stratified_maxlen2048_svm_20260530_202138.log
codellama-7b_4500_complexity_stratified_maxlen2048	mlp	OK	2026-05-30T20:23:32-05:00	2026-05-30T20:27:34-05:00	242	/home/user1-system11/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_allmodels_20260530_202121/run4_codellama-7b_4500_complexity_stratified_maxlen2048_mlp_20260530_202332.log
codellama-7b_4500_complexity_stratified_maxlen2048	rf	OK	2026-05-30T20:27:34-05:00	2026-05-30T20:29:15-05:00	101	/home/user1-system11/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_allmodels_20260530_202121/run4_codellama-7b_4500_complexity_stratified_maxlen2048_rf_20260530_202734.log
codellama-7b_4500_complexity_stratified_maxlen2048	gb	OK	2026-05-30T20:29:15-05:00	2026-05-30T20:59:34-05:00	1819	/home/user1-system11/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_allmodels_20260530_202121/run4_codellama-7b_4500_complexity_stratified_maxlen2048_gb_20260530_202915.log
codellama-7b_4500_complexity_stratified_maxlen2048	knn	OK	2026-05-30T20:59:34-05:00	2026-05-30T20:59:40-05:00	6	/home/user1-system11/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_allmodels_20260530_202121/run4_codellama-7b_4500_complexity_stratified_maxlen2048_knn_20260530_205934.log
codellama-7b_4500_complexity_stratified_maxlen2048	dt	OK	2026-05-30T20:59:40-05:00	2026-05-30T21:00:02-05:00	22	/home/user1-system11/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_allmodels_20260530_202121/run4_codellama-7b_4500_complexity_stratified_maxlen2048_dt_20260530_205940.log
codellama-7b_4500_complexity_stratified_maxlen2048	et	OK	2026-05-30T21:00:02-05:00	2026-05-30T21:08:12-05:00	490	/home/user1-system11/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_allmodels_20260530_202121/run4_codellama-7b_4500_complexity_stratified_maxlen2048_et_20260530_210002.log
codellama-7b_4500_complexity_stratified_maxlen2048	ada	OK	2026-05-30T21:08:12-05:00	2026-05-30T21:17:45-05:00	573	/home/user1-system11/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_allmodels_20260530_202121/run4_codellama-7b_4500_complexity_stratified_maxlen2048_ada_20260530_210812.log
codellama-7b_4500_complexity_stratified_maxlen2048	hgb	OK	2026-05-30T21:17:45-05:00	2026-05-30T21:21:01-05:00	196	/home/user1-system11/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_allmodels_20260530_202121/run4_codellama-7b_4500_complexity_stratified_maxlen2048_hgb_20260530_211745.log
codellama-7b_4500_complexity_stratified_maxlen2048	xgb	OK	2026-05-30T21:21:01-05:00	2026-05-30T21:26:11-05:00	310	/home/user1-system11/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_codellama-7b_4500_complexity_stratified_maxlen2048_allmodels_20260530_202121/run4_codellama-7b_4500_complexity_stratified_maxlen2048_xgb_20260530_212101.log
