model_name	model	status	start_time	end_time	seconds	log_file
gemma_4500_complexity_stratified_maxlen2048	lr	OK	2026-05-29T16:35:59-05:00	2026-05-29T16:36:11-05:00	12	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_gemma_4500_complexity_stratified_maxlen2048_allmodels_20260529_163559/run4_gemma_4500_complexity_stratified_maxlen2048_lr_20260529_163559.log
gemma_4500_complexity_stratified_maxlen2048	svm	OK	2026-05-29T16:36:11-05:00	2026-05-29T16:37:07-05:00	56	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_gemma_4500_complexity_stratified_maxlen2048_allmodels_20260529_163559/run4_gemma_4500_complexity_stratified_maxlen2048_svm_20260529_163611.log
gemma_4500_complexity_stratified_maxlen2048	mlp	OK	2026-05-29T16:37:07-05:00	2026-05-29T16:39:24-05:00	137	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_gemma_4500_complexity_stratified_maxlen2048_allmodels_20260529_163559/run4_gemma_4500_complexity_stratified_maxlen2048_mlp_20260529_163707.log
gemma_4500_complexity_stratified_maxlen2048	rf	OK	2026-05-29T16:39:24-05:00	2026-05-29T16:39:42-05:00	18	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_gemma_4500_complexity_stratified_maxlen2048_allmodels_20260529_163559/run4_gemma_4500_complexity_stratified_maxlen2048_rf_20260529_163924.log
gemma_4500_complexity_stratified_maxlen2048	gb	OK	2026-05-29T16:39:42-05:00	2026-05-29T16:55:49-05:00	967	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_gemma_4500_complexity_stratified_maxlen2048_allmodels_20260529_163559/run4_gemma_4500_complexity_stratified_maxlen2048_gb_20260529_163942.log
gemma_4500_complexity_stratified_maxlen2048	knn	OK	2026-05-29T16:55:49-05:00	2026-05-29T16:55:54-05:00	5	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_gemma_4500_complexity_stratified_maxlen2048_allmodels_20260529_163559/run4_gemma_4500_complexity_stratified_maxlen2048_knn_20260529_165549.log
gemma_4500_complexity_stratified_maxlen2048	dt	OK	2026-05-29T16:55:54-05:00	2026-05-29T16:56:11-05:00	17	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_gemma_4500_complexity_stratified_maxlen2048_allmodels_20260529_163559/run4_gemma_4500_complexity_stratified_maxlen2048_dt_20260529_165554.log
gemma_4500_complexity_stratified_maxlen2048	et	OK	2026-05-29T16:56:11-05:00	2026-05-29T16:57:18-05:00	67	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_gemma_4500_complexity_stratified_maxlen2048_allmodels_20260529_163559/run4_gemma_4500_complexity_stratified_maxlen2048_et_20260529_165611.log
gemma_4500_complexity_stratified_maxlen2048	ada	OK	2026-05-29T16:57:18-05:00	2026-05-29T17:01:12-05:00	234	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_gemma_4500_complexity_stratified_maxlen2048_allmodels_20260529_163559/run4_gemma_4500_complexity_stratified_maxlen2048_ada_20260529_165718.log
gemma_4500_complexity_stratified_maxlen2048	hgb	OK	2026-05-29T17:01:12-05:00	2026-05-29T17:02:20-05:00	68	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_gemma_4500_complexity_stratified_maxlen2048_allmodels_20260529_163559/run4_gemma_4500_complexity_stratified_maxlen2048_hgb_20260529_170112.log
gemma_4500_complexity_stratified_maxlen2048	xgb	OK	2026-05-29T17:02:20-05:00	2026-05-29T17:08:38-05:00	378	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_gemma_4500_complexity_stratified_maxlen2048_allmodels_20260529_163559/run4_gemma_4500_complexity_stratified_maxlen2048_xgb_20260529_170220.log
gemma_4500_complexity_stratified_maxlen2048	xgb	OK	2026-05-29T17:08:38-05:00	2026-05-29T17:14:58-05:00	380	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_gemma_4500_complexity_stratified_maxlen2048_allmodels_20260529_163559/run4_gemma_4500_complexity_stratified_maxlen2048_xgb_20260529_170838.log
