model_name	model	status	start_time	end_time	seconds	log_file
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	lr	OK	2026-05-26T03:29:53-05:00	2026-05-26T03:30:05-05:00	12	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260526_032952/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_lr_20260526_032953.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	svm	OK	2026-05-26T03:30:05-05:00	2026-05-26T03:30:58-05:00	53	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260526_032952/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_svm_20260526_033005.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	mlp	OK	2026-05-26T03:30:58-05:00	2026-05-26T03:33:15-05:00	137	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260526_032952/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_mlp_20260526_033058.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	rf	OK	2026-05-26T03:33:15-05:00	2026-05-26T03:33:33-05:00	18	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260526_032952/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_rf_20260526_033315.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	gb	OK	2026-05-26T03:33:33-05:00	2026-05-26T03:46:54-05:00	801	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260526_032952/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_gb_20260526_033333.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	knn	OK	2026-05-26T03:46:54-05:00	2026-05-26T03:47:00-05:00	6	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260526_032952/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_knn_20260526_034654.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	dt	OK	2026-05-26T03:47:00-05:00	2026-05-26T03:47:15-05:00	15	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260526_032952/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_dt_20260526_034700.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	et	OK	2026-05-26T03:47:15-05:00	2026-05-26T03:48:20-05:00	65	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260526_032952/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_et_20260526_034715.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	ada	OK	2026-05-26T03:48:20-05:00	2026-05-26T03:52:44-05:00	264	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260526_032952/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_ada_20260526_034820.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	hgb	OK	2026-05-26T03:52:44-05:00	2026-05-26T03:53:47-05:00	63	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260526_032952/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_hgb_20260526_035244.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	xgb	OK	2026-05-26T03:53:47-05:00	2026-05-26T04:00:02-05:00	375	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260526_032952/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_xgb_20260526_035347.log
starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048	xgb	OK	2026-05-26T04:00:02-05:00	2026-05-26T04:06:33-05:00	391	/home/user1-system12/project-workspace/ai_detector/src/logs/rq2d_codesearchnet_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_allmodels_20260526_032952/run4_starcoder2-15b-instruct-v0.1_4500_complexity_stratified_maxlen2048_xgb_20260526_040002.log
