run_tag,family,dataset,emb,n_test,acc,tpr,tnr,human_f1,ai_f1,avg_f1,auroc,score_mode
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_ada_20260527_201042,ada,codesearchnet_gpt-oss_python_merged_4500,ast,900,0.7066666666666667,0.6866666666666666,0.7266666666666667,0.7006802721088435,0.7124183006535948,0.7065492863812192,0.8000938271604937,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_ada_20260527_201042,ada,codesearchnet_gpt-oss_python_merged_4500,code,900,0.6811111111111111,0.6911111111111111,0.6711111111111111,0.6842684268426843,0.6778900112233446,0.6810792190330144,0.7334469135802469,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_ada_20260527_201042,ada,codesearchnet_gpt-oss_python_merged_4500,combined,900,0.68,0.6888888888888889,0.6711111111111111,0.6828193832599119,0.6771300448430493,0.6799747140514806,0.7464148148148149,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_dt_20260527_200223,dt,codesearchnet_gpt-oss_python_merged_4500,ast,900,0.6077777777777778,0.5755555555555556,0.64,0.5947187141216992,0.620021528525296,0.6073701213234977,0.5961802469135802,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_dt_20260527_200223,dt,codesearchnet_gpt-oss_python_merged_4500,code,900,0.5644444444444444,0.5733333333333334,0.5555555555555556,0.5682819383259912,0.5605381165919282,0.5644100274589596,0.571083950617284,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_dt_20260527_200223,dt,codesearchnet_gpt-oss_python_merged_4500,combined,900,0.5544444444444444,0.5955555555555555,0.5133333333333333,0.5720384204909285,0.5353418308227115,0.55369012565682,0.550404938271605,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_et_20260527_200244,et,codesearchnet_gpt-oss_python_merged_4500,ast,900,0.7088888888888889,0.7488888888888889,0.6688888888888889,0.7200854700854701,0.6967592592592593,0.7084223646723646,0.790604938271605,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_et_20260527_200244,et,codesearchnet_gpt-oss_python_merged_4500,code,900,0.6611111111111111,0.6577777777777778,0.6644444444444444,0.6599777034559643,0.6622369878183831,0.6611073456371737,0.7283481481481482,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_et_20260527_200244,et,codesearchnet_gpt-oss_python_merged_4500,combined,900,0.6777777777777778,0.7,0.6555555555555556,0.6847826086956522,0.6704545454545454,0.6776185770750989,0.7472049382716048,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_gb_20260527_192703,gb,codesearchnet_gpt-oss_python_merged_4500,ast,900,0.7333333333333333,0.7288888888888889,0.7377777777777778,0.7321428571428571,0.7345132743362832,0.7333280657395702,0.8164197530864197,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_gb_20260527_192703,gb,codesearchnet_gpt-oss_python_merged_4500,code,900,0.6744444444444444,0.6577777777777778,0.6911111111111111,0.6689265536723163,0.6797814207650273,0.6743539872186719,0.749679012345679,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_gb_20260527_192703,gb,codesearchnet_gpt-oss_python_merged_4500,combined,900,0.7011111111111111,0.72,0.6822222222222222,0.7066521264994547,0.695356738391846,0.7010044324456504,0.7764592592592593,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_hgb_20260527_202003,hgb,codesearchnet_gpt-oss_python_merged_4500,ast,900,0.7322222222222222,0.7266666666666667,0.7377777777777778,0.7307262569832402,0.7337016574585635,0.7322139572209019,0.8231407407407407,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_hgb_20260527_202003,hgb,codesearchnet_gpt-oss_python_merged_4500,code,900,0.7044444444444444,0.6955555555555556,0.7133333333333334,0.7017937219730942,0.7070484581497798,0.7044210900614369,0.7615604938271605,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_hgb_20260527_202003,hgb,codesearchnet_gpt-oss_python_merged_4500,combined,900,0.71,0.7244444444444444,0.6955555555555556,0.7141292442497261,0.705749718151071,0.7099394812003985,0.7840493827160493,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_knn_20260527_200217,knn,codesearchnet_gpt-oss_python_merged_4500,ast,900,0.6977777777777778,0.8311111111111111,0.5644444444444444,0.7333333333333333,0.6512820512820513,0.6923076923076923,0.7641037037037037,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_knn_20260527_200217,knn,codesearchnet_gpt-oss_python_merged_4500,code,900,0.6,0.4288888888888889,0.7711111111111111,0.517426273458445,0.6584440227703985,0.5879351481144217,0.6798716049382716,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_knn_20260527_200217,knn,codesearchnet_gpt-oss_python_merged_4500,combined,900,0.6455555555555555,0.4955555555555556,0.7955555555555556,0.5830065359477125,0.6917874396135266,0.6373969877806196,0.7305876543209877,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_lr_20260527_191815,lr,codesearchnet_gpt-oss_python_merged_4500,ast,900,0.7722222222222223,0.7866666666666666,0.7577777777777778,0.7754654983570646,0.7688838782412627,0.7721746882991636,0.8588197530864198,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_lr_20260527_191815,lr,codesearchnet_gpt-oss_python_merged_4500,code,900,0.7555555555555555,0.7377777777777778,0.7733333333333333,0.751131221719457,0.759825327510917,0.755478274615187,0.8325481481481483,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_lr_20260527_191815,lr,codesearchnet_gpt-oss_python_merged_4500,combined,900,0.7477777777777778,0.7644444444444445,0.7311111111111112,0.7519125683060109,0.7435028248587571,0.747707696582384,0.8311555555555556,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_mlp_20260527_192034,mlp,codesearchnet_gpt-oss_python_merged_4500,ast,900,0.8088888888888889,0.8,0.8177777777777778,0.8071748878923767,0.8105726872246696,0.8088737875585231,0.8837037037037037,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_mlp_20260527_192034,mlp,codesearchnet_gpt-oss_python_merged_4500,code,900,0.7622222222222222,0.7777777777777778,0.7466666666666667,0.7658643326039387,0.7584650112866818,0.7621646719453102,0.8391753086419753,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_mlp_20260527_192034,mlp,codesearchnet_gpt-oss_python_merged_4500,combined,900,0.7655555555555555,0.7577777777777778,0.7733333333333333,0.7637178051511758,0.7673649393605292,0.7655413722558525,0.8551851851851852,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_rf_20260527_192521,rf,codesearchnet_gpt-oss_python_merged_4500,ast,900,0.7066666666666667,0.7355555555555555,0.6777777777777778,0.714902807775378,0.6979405034324943,0.7064216556039361,0.7921061728395061,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_rf_20260527_192521,rf,codesearchnet_gpt-oss_python_merged_4500,code,900,0.6544444444444445,0.6155555555555555,0.6933333333333334,0.6404624277456648,0.667379679144385,0.6539210534450248,0.7134518518518518,proba
