run_tag,family,dataset,emb,n_test,acc,tpr,tnr,human_f1,ai_f1,avg_f1,auroc,score_mode
codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_ada_20260528_143917,ada,codesearchnet_starcoder2-7b_python_merged_4500,ast,900,0.6477777777777778,0.6511111111111111,0.6444444444444445,0.6489479512735327,0.6465997770345596,0.6477738641540461,0.7102864197530864,proba
codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_ada_20260528_143917,ada,codesearchnet_starcoder2-7b_python_merged_4500,code,900,0.6155555555555555,0.6422222222222222,0.5888888888888889,0.6255411255411255,0.6050228310502284,0.6152819782956769,0.665395061728395,proba
codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_ada_20260528_143917,ada,codesearchnet_starcoder2-7b_python_merged_4500,combined,900,0.6344444444444445,0.6577777777777778,0.6111111111111112,0.6427795874049945,0.6257110352673493,0.6342453113361719,0.6902222222222222,proba
codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_dt_20260528_143758,dt,codesearchnet_starcoder2-7b_python_merged_4500,ast,900,0.5222222222222223,0.5222222222222223,0.5222222222222223,0.5222222222222223,0.5222222222222223,0.5222222222222223,0.5160493827160494,proba
codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_dt_20260528_143758,dt,codesearchnet_starcoder2-7b_python_merged_4500,code,900,0.5377777777777778,0.5688888888888889,0.5066666666666667,0.5517241379310345,0.5229357798165137,0.5373299588737741,0.5470444444444444,proba
codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_dt_20260528_143758,dt,codesearchnet_starcoder2-7b_python_merged_4500,combined,900,0.5111111111111111,0.5422222222222223,0.48,0.5258620689655172,0.4954128440366973,0.5106374565011073,0.5267629629629629,proba
codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_et_20260528_143813,et,codesearchnet_starcoder2-7b_python_merged_4500,ast,900,0.6644444444444444,0.6755555555555556,0.6533333333333333,0.6681318681318681,0.6606741573033708,0.6644030127176195,0.70500987654321,proba
codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_et_20260528_143813,et,codesearchnet_starcoder2-7b_python_merged_4500,code,900,0.6033333333333334,0.6222222222222222,0.5844444444444444,0.6106870229007634,0.5956964892412231,0.6031917560709932,0.6588148148148147,proba
codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_et_20260528_143813,et,codesearchnet_starcoder2-7b_python_merged_4500,combined,900,0.6222222222222222,0.6355555555555555,0.6088888888888889,0.6271929824561403,0.6171171171171171,0.6221550497866287,0.6849827160493827,proba
codesearchnet_starcoder2-7b_4500_complexity_stratified_maxlen2048_gb_20260528_142429,gb,codesearchnet_starcoder2-7b_python_merged_4500,ast,900,0.6622222222222223,0.6755555555555556,0.6488888888888888,0.6666666666666666,0.6576576576576577,0.6621621621621622,0.7129851851851853,proba
